product_id,name,category,subcategory,brand,price_eur,stock,rating,reviews_count,recipient,occasion,tags,color,material,gift_wrap,shipping_days,description
HL-001,Aurora Table Lamp,Home & Living,Lighting,Nordlys,129.00,14,4.6,212,anyone,housewarming|christmas,lamp|ambient|dimmable|scandinavian,Warm White,"Oak, linen shade",yes,3,"A dimmable oak lamp with a linen shade that throws a soft, low glow. Reads as expensive without shouting about it."
HL-002,Halden Floor Lamp,Home & Living,Lighting,Nordlys,249.00,6,4.4,88,anyone,housewarming,lamp|floor|reading|scandinavian,Black,"Steel, oak",yes,4,"An arc floor lamp that leans over an armchair. Sturdy base, no wobble."
HL-003,Ember Ceramic Candle,Home & Living,Candles,Fold Studio,42.00,63,4.8,431,anyone,thank-you|birthday|christmas,candle|scented|woody|refillable,Terracotta,"Ceramic, soy wax",yes,2,"Cedar, black pepper and a little smoke. Burns for about fifty hours and the vessel is worth keeping."
HL-004,Linen Fig Candle,home & living,Candles,Fold Studio,38.00,0,4.7,289,her,birthday|thank-you,candle|scented|fresh|fig,Off White,"Ceramic, soy wax",yes,2,"Green fig and cut grass. Lighter than the Ember, better for a bedroom."
HL-005,Trio Votive Set,Home & Living,Candles,Fold Studio,54.00,21,4.5,97,anyone,christmas|thank-you,candle|set|scented|small,Mixed,"Glass, soy wax",yes,2,"Three small scents in one box: fig, cedar, sea salt. The safe choice when you don't know what someone likes."
HL-006,"Stoneware Vase, Tall",Home & Living,Vases,Terra Nine,68.00,18,4.3,64,anyone,housewarming|anniversary,vase|handmade|stoneware|tall,Sand,Stoneware,yes,4,"Hand-thrown, so no two are identical. Holds long stems without tipping."
HL-007,"Stoneware Vase, Squat",Home & Living,Vases,Terra Nine,49.00,25,4.3,51,anyone,housewarming,vase|handmade|stoneware|small,Sand,Stoneware,yes,4,"The shorter sibling. Good for supermarket flowers, which is what people actually buy."
HL-008,Bud Vase Cluster,Home & Living,Vases,Terra Nine,36.00,31,,,anyone,housewarming|thank-you,vase|set|small|minimal,Clear,Glass,yes,3,Five small glass vases that group together. One stem each.
HL-009,Alpaca Throw,Home & Living,Textiles,Casa Lenta,185.00,9,4.9,156,anyone,christmas|anniversary,throw|blanket|luxury|warm,Charcoal,Baby alpaca,yes,5,"Genuinely soft, genuinely warm, and light enough to actually use. The kind of thing nobody buys for themselves."
HL-010,Waffle Cotton Throw,Home & Living,Textiles,Casa Lenta,78.00,22,4.4,203,anyone,housewarming|birthday,throw|blanket|cotton|light,Oatmeal,Organic cotton,yes,3,"Washable, unfussy, gets softer with use. The everyday version of the alpaca."
HL-011,Linen Cushion Pair,Home & Living,Textiles,Casa Lenta,64.00,17,4.2,71,anyone,housewarming,cushion|linen|pair|neutral,Clay,Washed linen,yes,3,"Two covers, inserts included. Stonewashed so they look lived-in from day one."
HL-012,"Reed Diffuser, Cedar",Home & Living,Fragrance,Fold Studio,46.00,28,4.1,118,anyone,housewarming|thank-you,diffuser|scented|woody|no-flame,Amber,"Glass, rattan",yes,2,Three months of scent with no flame. Sensible for anyone with cats or small children.
HL-013,Room Spray Duo,Home and Living,Fragrance,Fold Studio,34.00,40,3.9,45,anyone,,spray|scented|set|small,Clear,Glass,yes,2,Great gift.
HL-014,Nordic Wall Clock,Home & Living,Decor,Nordlys,89.00,11,4.5,132,anyone,housewarming,clock|wall|silent|minimal,White,"Beech, aluminium",yes,4,"Silent sweep movement, no ticking. Reads clearly from across a room."
HL-015,Marble Bookends,Home & Living,Decor,Terra Nine,95.00,7,4.6,58,him,graduation|housewarming,bookends|marble|heavy|desk,Green,Marble,yes,5,Heavy enough to hold a shelf of hardbacks. Each pair has different veining.
HL-016,Brass Picture Frame 13x18,Home & Living,Decor,Terra Nine,39.00,44,4.0,89,anyone,anniversary|thank-you,frame|brass|photo|small,Brass,"Brass, glass",yes,3,Ages to a warm patina. Stands or hangs.
HL-017,Woven Storage Basket,Home & Living,Storage,Casa Lenta,58.00,19,4.3,77,anyone,housewarming,basket|storage|woven|natural,Natural,Seagrass,no,4,"Holds blankets, firewood or the toys nobody puts away."
HL-018,"Entry Tray, Walnut",Home & Living,Storage,Fold Studio,44.00,26,4.4,63,him,housewarming|thank-you,tray|wood|desk|entryway,Walnut,Walnut,yes,3,"Keys, wallet, watch. Solves a small daily annoyance."
HL-019,"Ceramic Planter, Medium",Home & Living,Garden,Terra Nine,52.00,23,4.2,94,anyone,housewarming,planter|ceramic|indoor|drainage,Chalk,Ceramic,yes,4,"Drainage hole and matching saucer, which most planters at this price skip."
HL-020,Aurora Hanging Planter,Home & Living,Garden,Terra Nine,47.00,15,4.0,38,anyone,housewarming,planter|hanging|ceramic|indoor,Chalk,"Ceramic, cotton rope",yes,4,"Same glaze as the medium planter, on a cotton rope. Sold without the plant."
HL-021,Herb Garden Kit,Home & Living,Garden,Seedhouse,42.00,34,4.1,167,anyone,birthday|thank-you,kit|herbs|beginner|kitchen,Green,"Terracotta, seed",yes,3,"Basil, thyme and mint with soil discs and instructions that assume you know nothing."
HL-022,Wool Door Mat,Home & Living,Textiles,Casa Lenta,72.00,0,3.8,29,anyone,housewarming,mat|wool|entryway|durable,Grey,"Wool, jute",no,6,Coarse wool that actually takes mud off boots. Not for outdoors in the rain.
HL-023,Terrazzo Coaster Set, Home & Living,Decor,Terra Nine,32.00,52,4.4,111,anyone,housewarming|thank-you,coasters|set|terrazzo|small,Multi,"Terrazzo, cork",yes,3,"Four coasters, cork-backed. Each one has a different chip pattern."
HL-024,Amber Glass Tumbler Set,Home & Living,Decor,Terra Nine,56.00,20,4.5,86,anyone,housewarming|anniversary,glassware|set|amber|six,Amber,Glass,yes,4,"Six tumblers in smoked amber. Dishwasher safe, which the fancier ones never are."
HL-025,"Sheepskin Rug, Small",Home & Living,Textiles,Casa Lenta,120.00,8,4.6,72,anyone,christmas,rug|sheepskin|warm|small,Ivory,Sheepskin,yes,5,"Draped over a chair rather than on the floor, mostly. Ethically sourced, certificate in the box."
HL-026,Oak Serving Ladder,Home & Living,Storage,Fold Studio,110.00,4,,,anyone,housewarming|anniversary,shelf|oak|bathroom|decor,Oak,Solid oak,yes,6,"A leaning ladder for towels or throws. Ships flat, assembles in ten minutes."
HL-027,"Incense Set, Japanese",Home & Living,Fragrance,Fold Studio,28.00,47,4.7,224,anyone,thank-you|birthday,incense|set|calm|japanese,Natural,"Wood, resin",yes,2,"Three boxes, sandalwood to green tea, with a small ceramic holder."
HL-028,Linen Table Runner,Home & Living,Textiles,Casa Lenta,48.00,29,4.0,41,her,christmas|housewarming,table|linen|dining|neutral,Sage,Washed linen,yes,3,Two metres. Creases immediately and is supposed to.
KD-001,Chef's Knife 20cm,Kitchen & Dining,Knives,Kuro,149.00,16,4.8,394,anyone,birthday|christmas|housewarming,knife|chef|japanese|steel,Steel,"VG-10 steel, pakkawood",yes,3,"A proper Japanese gyuto. Holds an edge, feels balanced, and will outlive whoever you give it to."
KD-002,Paring Knife 9cm,Kitchen & Dining,Knives,Kuro,69.00,24,4.6,148,anyone,thank-you|housewarming,knife|paring|small|japanese,Steel,"VG-10 steel, pakkawood",yes,3,The knife people actually reach for most. Pairs with the gyuto.
KD-003,Knife Sharpening Stone,Kitchen & Dining,Knives,Kuro,54.00,18,4.5,96,him,birthday,sharpening|stone|maintenance|accessory,Grey,Ceramic,no,3,1000/3000 grit combination stone with a non-slip base. Comes with a card explaining the angle.
